name,abbreviation,area
Alabama,AL,52420.07
Alaska,AK,665384.04
Arizona,AZ,113990.3
Arkansas,AR,53178.55
California,CA,163694.74
Colorado,CO,104093.67
Connecticut,CT,5543.41
Delaware,DE,2488.72
Florida,FL,65757.7
Georgia,GA,59425.15
Hawaii,HI,10931.72
Idaho,ID,83568.95
Illinois,IL,57913.55
Indiana,IN,36419.55
Iowa,IA,56272.81
Kansas,KS,82278.36
Kentucky,KY,40407.8
Louisiana,LA,52378.13
Maine,ME,35379.74
Maryland,MD,12405.93
Massachusetts,MA,10554.39
Michigan,MI,96713.51
Minnesota,MN,86935.83
Mississippi,MS,48431.78
Missouri,MO,69706.99
Montana,MT,147039.71
Nebraska,NE,77347.81
Nevada,NV,110571.82
New Hampshire,NH,9349.16
New Jersey,NJ,8722.58
New Mexico,NM,121590.3
New York,NY,54554.98
North Carolina,NC,53819.16
North Dakota,ND,70698.32
Ohio,OH,44825.58
Oklahoma,OK,69898.87
Oregon,OR,98378.54
Pennsylvania,PA,46054.35
Rhode Island,RI,1544.89
South Carolina,SC,32020.49
South Dakota,SD,77115.68
Tennessee,TN,42144.25
Texas,TX,268596.46
Utah,UT,84896.88
Vermont,VT,9616.36
Virginia,VA,42774.93
Washington,WA,71297.95
West Virginia,WV,24230.04
Wisconsin,WI,65496.38
Wyoming,WY,97813.01
District of Columbia,DC,68.34
